36422,10,"O",287837.4294967312,"1997-03-04","3-MEDIUM","Clerk#000000532",0,"e evenly final dependencies. regular, bold pinto beans "
135943,7,"F",314307.4294967342,"1993-06-22","4-NOT SPECIFIED","Clerk#000000685",0,"ies. blithely pending deposits "
164711,4,"F",311722.4294967383,"1992-04-26","3-MEDIUM","Clerk#000000361",0,"accounts among the regular,"
224167,5,"O",85170.4294967364,"1996-05-08","5-LOW","Clerk#000000657",0,"s along the carefully special pinto beans cajole carefully even sentim"
287619,5,"O",13620.4294967307,"1996-12-26","5-LOW","Clerk#000000854",0,"r requests must sleep carefully furiously regular tithes? slyly unusual reque"
385825,4,"O",277493.4294967300,"1995-11-01","2-HIGH","Clerk#000000465",0,"e even foxes. regularly even instructions boost carefully along"
430243,2,"F",33082.4294967379,"1994-12-24","4-NOT SPECIFIED","Clerk#000000121",0,"n braids among the final packages cajole pendin"
454791,1,"F",74602.4294967377,"1992-04-19","1-URGENT","Clerk#000000815",0,"uriously ironic deposits wake across the s"
579908,1,"O",54048.4294967322,"1996-12-09","5-LOW","Clerk#000000783",0," asymptotes. regular requests boost blithely. pending gifts according to the"
816323,10,"O",249097.4294967335,"1996-01-23","5-LOW","Clerk#000000693",0,"ts boost furiously pinto beans. regular deposits nag among the express "
859108,10,"O",135312.4294967383,"1996-02-20","3-MEDIUM","Clerk#000000573",0," pinto beans. final, unusual deposits use. final"
883557,10,"O",53855.4294967393,"1998-03-30","2-HIGH","Clerk#000000758",0,"ses are carefully. slyly regular asympto"
895172,10,"O",236806.4294967389,"1995-12-04","1-URGENT","Clerk#000000673",0,"cajole quickly slyly exp"
905633,5,"O",261338.4294967362,"1995-07-05","4-NOT SPECIFIED","Clerk#000000254",0,"arefully ironic attainments cajole slyly furiou"
916775,10,"O",279937.4294967328,"1996-04-26","1-URGENT","Clerk#000000032",0,"express instructions. quickly unusual accounts cajole-- carefully i"
1071617,2,"P",221397.4294967331,"1995-03-10","2-HIGH","Clerk#000000408",0,"al, unusual packages. furiously final requests use quickly. f"
1073670,8,"F",76193.4294967379,"1994-05-24","4-NOT SPECIFIED","Clerk#000000710",0,"ly alongside of the slyly ironic theodolites. accoun"
1192231,4,"O",143971.4294967350,"1996-06-03","1-URGENT","Clerk#000000978",0,"osits haggle carefully. carefully final grouches are. blithely si"
1201223,8,"O",138984.4294967370,"1996-01-13","5-LOW","Clerk#000000287",0,"st the carefully final foxes wake carefully according to the"
1226497,4,"F",88317.4294967315,"1993-10-04","1-URGENT","Clerk#000000154",0,"al theodolites. quickly ruthless accounts lose blithely furiously re"
1374019,2,"F",167016.4294967357,"1992-04-05","1-URGENT","Clerk#000000440",0,"lithe packages. acco"
